"marke";"erstzulassung";"kmstand";"kraftstoff";"hubraum";"ps";"haendler";"automatik";"besitzer"
"H";2017;35000;"Diesel";2523;63;"Nein";"Nein";"Erste Hand"
"H";2019;25000;"Benzin";1198;83;"Nein";"Nein";"Erste Hand"
"J";2009;70000;"Benzin";796;47;"Nein";"Nein";"Mehr als zweite Hand"
"A";2017;52000;"Diesel";1498;110;"Nein";"Nein";"Erste Hand"
"I";2013;61500;"Benzin";1197;84;"Ja";"Nein";"Erste Hand"
"I";2018;25000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2017;75000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand"
"F";2015;80000;"Diesel";1364;68;"Nein";"Nein";"Erste Hand"
"B";2017;30000;"Benzin";999;68;"Nein";"Nein";"Erste Hand"
"C";2011;60000;"Benzin";1399;94;"Nein";"Nein";"Zweite Hand"
"I";2015;40000;"Benzin";1197;83;"Ja";"Nein";"Erste Hand"
"J";2012;140000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand"
"J";2018;10000;"Benzin";998;68;"Nein";"Nein";"Erste Hand"
"I";2017;40000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2010;60000;"Benzin";1197;87;"Nein";"Nein";"Zweite Hand"
"G";2016;110000;"Diesel";1396;70;"Nein";"Nein";"Zweite Hand"
"G";2019;3500;"Benzin";1199;85;"Nein";"Nein";"Erste Hand"
"F";2013;79328;"Diesel";2494;102;"Ja";"Nein";"Zweite Hand"
"J";2002;60000;"Diesel";1527;59;"Nein";"Nein";"Zweite Hand"
"J";2011;70000;"Benzin";998;67;"Nein";"Nein";"Mehr als zweite Hand"
"J";2012;80000;"Benzin";998;68;"Nein";"Nein";"Zweite Hand"
"I";2019;8000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"J";2019;18000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand"
"G";2015;60000;"Diesel";2179;140;"Nein";"Nein";"Erste Hand"
"F";2016;60000;"Diesel";2393;150;"Ja";"Nein";"Zweite Hand"
"D";2012;110000;"Diesel";1399;69;"Nein";"Nein";"Erste Hand"
"D";2011;77395;"Diesel";1399;69;"Ja";"Nein";"Zweite Hand"
"B";2012;100000;"Diesel";1461;64;"Ja";"Nein";"Erste Hand"
"H";2015;100000;"Diesel";1493;101;"Nein";"Nein";"Erste Hand"
"I";2018;20000;"Benzin";1197;83;"Nein";"Nein";"Zweite Hand"
"J";2015;50000;"Benzin";1197;84;"Nein";"Nein";"Erste Hand"
"I";2013;118000;"Diesel";1120;71;"Nein";"Nein";"Erste Hand"
"I";2015;25000;"Benzin";1591;123;"Nein";"Nein";"Erste Hand"
"H";2017;50000;"Diesel";1198;78;"Nein";"Nein";"Erste Hand"
"E";2016;55161;"Benzin";1497;119;"Ja";"Nein";"Erste Hand"
"J";2011;73000;"Benzin";796;47;"Nein";"Nein";"Erste Hand"
"A";2014;64000;"Benzin";1598;105;"Nein";"Nein";"Mehr als zweite Hand"
"E";2007;218463;"Benzin";1799;132;"Nein";"Ja";"Erste Hand"
"I";2015;53000;"Diesel";1120;71;"Nein";"Nein";"Erste Hand"
"I";2018;50000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand"
"D";2011;120000;"Diesel";1399;69;"Nein";"Nein";"Zweite Hand"
"J";2015;15000;"Diesel";1248;90;"Nein";"Nein";"Zweite Hand"
"E";2016;140000;"Benzin";1497;119;"Nein";"Nein";"Erste Hand"
"E";2012;100000;"Benzin";1497;118;"Nein";"Nein";"Zweite Hand"
"H";2015;110000;"Diesel";2179;142;"Nein";"Nein";"Erste Hand"
