"marke";"erstzulassung";"kmstand";"kraftstoff";"hubraum";"ps";"haendler";"automatik";"besitzer";"preis"
"H";2011;320000;"Diesel";2179;122;"Nein";"Nein";"Mehr als zweite Hand";4400
"J";2009;120000;"Benzin";1197;87;"Nein";"Nein";"Erste Hand";2200
"I";2013;125000;"Diesel";1582;128;"Nein";"Nein";"Mehr als zweite Hand";5225
"J";2001;60000;"Benzin";796;38;"Nein";"Nein";"Zweite Hand";495
"G";2017;35000;"Diesel";1497;110;"Nein";"Nein";"Erste Hand";9130
"G";2004;40000;"Diesel";1405;63;"Nein";"Nein";"Zweite Hand";1100
"E";2017;37151;"Diesel";1498;100;"Ja";"Nein";"Erste Hand";5775
"I";2017;48000;"Diesel";1396;90;"Nein";"Nein";"Erste Hand";7370
"J";2012;110000;"Benzin";1196;74;"Nein";"Nein";"Erste Hand";2090
"H";2018;60000;"Diesel";2523;76;"Nein";"Nein";"Erste Hand";9900
"J";2015;80000;"Benzin";998;68;"Nein";"Nein";"Zweite Hand";2640
"J";2009;70000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";2640
"C";2013;139000;"Diesel";936;58;"Nein";"Nein";"Erste Hand";1375
"I";2012;76000;"Benzin";1197;80;"Nein";"Nein";"Mehr als zweite Hand";2310
"G";2007;110000;"Benzin";2092;129;"Nein";"Nein";"Zweite Hand";3300
"J";2009;70000;"Benzin";1061;68;"Nein";"Nein";"Zweite Hand";1562
"J";2014;60000;"Benzin";998;68;"Nein";"Nein";"Zweite Hand";2530
"G";2018;23000;"Benzin";1199;85;"Nein";"Nein";"Erste Hand";6050
"J";2012;100000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";6875
"G";2006;175000;"Diesel";2179;140;"Nein";"Nein";"Zweite Hand";3300
"I";2006;90000;"Benzin";1599;105;"Nein";"Nein";"Mehr als zweite Hand";1870
"J";2005;45000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";1210
"E";2010;100000;"Benzin";1497;120;"Nein";"Nein";"Mehr als zweite Hand";3300
"I";2015;55000;"Benzin";1197;80;"Nein";"Nein";"Erste Hand";3080
"G";2011;110000;"Benzin";1368;91;"Nein";"Nein";"Zweite Hand";2750
"J";2018;12000;"Benzin";1197;83;"Nein";"Nein";"Erste Hand";5885
"J";2015;29000;"Benzin";998;68;"Nein";"Nein";"Erste Hand";3465
"E";2019;1303;"Benzin";1198;88;"Ja";"Nein";"Erste Hand";7590
"J";2005;39000;"Benzin";796;47;"Nein";"Nein";"Erste Hand";605
"J";2013;67000;"Diesel";1248;75;"Ja";"Nein";"Zweite Hand";4950
"J";2010;110000;"Benzin";1061;65;"Nein";"Nein";"Zweite Hand";2200
"J";2013;60000;"Benzin";796;48;"Nein";"Nein";"Erste Hand";2970
"I";2017;45500;"Diesel";1582;128;"Nein";"Nein";"Zweite Hand";8800
"J";2011;64500;"Benzin";998;68;"Nein";"Nein";"Erste Hand";2640
"I";2016;25000;"Benzin";1591;123;"Nein";"Nein";"Erste Hand";9350
"H";2016;70000;"Diesel";2523;64;"Nein";"Nein";"Erste Hand";6600
"G";2014;168000;"Diesel";1248;75;"Nein";"Nein";"Zweite Hand";2640
"B";2019;21000;"Benzin";799;54;"Nein";"Nein";"Erste Hand";3190
"J";2011;120000;"Benzin";796;38;"Nein";"Nein";"Zweite Hand";1100
"J";2009;90000;"Benzin";796;47;"Nein";"Nein";"Zweite Hand";935
"I";2013;25000;"Benzin";1197;84;"Nein";"Nein";"Erste Hand";4180
"J";2016;20000;"Benzin";1373;92;"Nein";"Nein";"Erste Hand";9350
"J";2016;30000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";6171
"J";2013;40000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";5830
"I";2017;29000;"Diesel";1186;75;"Ja";"Nein";"Zweite Hand";5775
"J";2016;33500;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";9075
"G";2015;110000;"Diesel";2179;150;"Nein";"Nein";"Erste Hand";5533
"J";2019;7200;"Benzin";998;102;"Nein";"Nein";"Erste Hand";8580
"I";2016;60000;"Diesel";1582;128;"Nein";"Nein";"Erste Hand";8844
"J";2015;70000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";5720
"G";2012;90000;"Diesel";1396;71;"Nein";"Nein";"Erste Hand";2200
"A";2012;120000;"Diesel";1598;105;"Nein";"Nein";"Zweite Hand";3080
"G";2013;80000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";3080
"I";2016;30000;"Benzin";814;56;"Nein";"Nein";"Erste Hand";3740
"G";2016;70000;"Diesel";1047;70;"Nein";"Nein";"Erste Hand";4180
"J";2010;162000;"Benzin";998;67;"Nein";"Nein";"Zweite Hand";1430
"G";2017;70000;"Diesel";1248;75;"Nein";"Nein";"Erste Hand";5940
"J";2018;21147;"Benzin";1197;84;"Ja";"Ja";"Erste Hand";8525
"I";2007;110000;"Diesel";1493;112;"Nein";"Nein";"Zweite Hand";2750
"F";2011;291000;"Diesel";2494;103;"Nein";"Nein";"Zweite Hand";8250
"H";2007;110000;"Diesel";2523;64;"Nein";"Nein";"Mehr als zweite Hand";2695
"F";2016;68089;"Benzin";2494;160;"Ja";"Ja";"Erste Hand";22000
"J";2018;38817;"Diesel";1248;75;"Ja";"Nein";"Erste Hand";8140
"H";2019;59872;"Diesel";2523;63;"Nein";"Nein";"Erste Hand";8250
"G";2015;110000;"Diesel";2179;150;"Nein";"Nein";"Erste Hand";5533
"J";2008;58632;"Benzin";796;35;"Ja";"Nein";"Zweite Hand";1265
"G";2009;113000;"Benzin";1193;66;"Nein";"Nein";"Erste Hand";1210
"H";2015;80000;"Diesel";2179;122;"Nein";"Nein";"Zweite Hand";10450
"F";2014;50000;"Diesel";1364;68;"Nein";"Nein";"Erste Hand";4675
"J";2005;80000;"Benzin";1298;86;"Nein";"Nein";"Mehr als zweite Hand";1023
"F";2006;305000;"Diesel";2494;103;"Nein";"Nein";"Mehr als zweite Hand";4070
"F";2015;170000;"Diesel";2494;102;"Nein";"Nein";"Erste Hand";15400
"I";2010;120000;"Diesel";1396;91;"Nein";"Nein";"Mehr als zweite Hand";2365
"I";2012;25000;"Benzin";814;56;"Nein";"Nein";"Erste Hand";2750
"J";2012;72000;"Diesel";1248;90;"Nein";"Nein";"Erste Hand";6600
"G";2012;28000;"Benzin";624;38;"Nein";"Nein";"Zweite Hand";495
"A";2016;60000;"Diesel";1498;110;"Ja";"Nein";"Erste Hand";6501
"I";2009;70000;"Benzin";1197;80;"Nein";"Nein";"Zweite Hand";2189
"H";2009;90000;"Diesel";2498;114;"Nein";"Nein";"Zweite Hand";3300
"I";2012;182000;"Diesel";1396;90;"Nein";"Nein";"Zweite Hand";4400
"I";2011;98000;"Benzin";1197;81;"Nein";"Nein";"Erste Hand";3850
